phase	rep	threads	alloc	system	dbsize	val	ratio	ops	crash
A	1	6	jem	3s_uring	dram	16384	1:9	0	0
A	1	6	jem	3s_uring	dram	16384	1:1	0	0
A	1	6	jem	3s_uring	dram	16384	1:0	0	0
A	1	6	jem	3s_pool	cache	16	1:9	3766078	0
A	1	6	jem	3s_pool	cache	16	1:1	3329752	0
A	1	6	jem	3s_pool	cache	16	1:0	3302407	0
A	1	6	jem	3s_pool	cache	64	1:9	3455055	0
A	1	6	jem	3s_pool	cache	64	1:1	3157749	0
A	1	6	jem	3s_pool	cache	64	1:0	3189086	0
A	1	6	jem	3s_pool	cache	256	1:9	3377038	0
A	1	6	jem	3s_pool	cache	256	1:1	3159187	0
A	1	6	jem	3s_pool	cache	256	1:0	3073996	0
A	1	6	jem	3s_pool	cache	1024	1:9	1732714	0
A	1	6	jem	3s_pool	cache	1024	1:1	2149944	0
A	1	6	jem	3s_pool	cache	1024	1:0	2344054	0
A	1	6	jem	3s_pool	cache	4096	1:9	0	0
A	1	6	jem	3s_pool	cache	4096	1:1	0	0
A	1	6	jem	3s_pool	cache	4096	1:0	0	0
A	1	6	jem	3s_pool	cache	16384	1:9	0	0
A	1	6	jem	3s_pool	cache	16384	1:1	0	0
A	1	6	jem	3s_pool	cache	16384	1:0	0	0
A	1	6	jem	3s_pool	dram	16	1:9	0	0
A	1	6	jem	3s_pool	dram	16	1:1	0	0
A	1	6	jem	3s_pool	dram	16	1:0	0	0
A	1	6	jem	3s_pool	dram	64	1:9	0	0
A	1	6	jem	3s_pool	dram	64	1:1	0	0
A	1	6	jem	3s_pool	dram	64	1:0	0	0
A	1	6	jem	3s_pool	dram	256	1:9	0	0
A	1	6	jem	3s_pool	dram	256	1:1	0	0
A	1	6	jem	3s_pool	dram	256	1:0	0	0
A	1	6	jem	3s_pool	dram	1024	1:9	0	0
A	1	6	jem	3s_pool	dram	1024	1:1	0	0
A	1	6	jem	3s_pool	dram	1024	1:0	0	0
A	1	6	jem	3s_pool	dram	4096	1:9	0	0
A	1	6	jem	3s_pool	dram	4096	1:1	0	0
A	1	6	jem	3s_pool	dram	4096	1:0	0	0
A	1	6	jem	3s_pool	dram	16384	1:9	0	0
A	1	6	jem	3s_pool	dram	16384	1:1	0	0
A	1	6	jem	3s_pool	dram	16384	1:0	0	0
A	1	8	jem	2s_epoll	cache	16	1:9	4847172	0
A	1	8	jem	2s_epoll	cache	16	1:1	4548518	0
A	1	8	jem	2s_epoll	cache	16	1:0	4388819	0
A	1	8	jem	2s_epoll	cache	64	1:9	4527799	0
A	1	8	jem	2s_epoll	cache	64	1:1	3944221	0
A	1	8	jem	2s_epoll	cache	64	1:0	3948221	0
A	1	8	jem	2s_epoll	cache	256	1:9	4086048	0
A	1	8	jem	2s_epoll	cache	256	1:1	3789437	0
A	1	8	jem	2s_epoll	cache	256	1:0	3713097	0
A	1	8	jem	2s_epoll	cache	1024	1:9	2236735	0
A	1	8	jem	2s_epoll	cache	1024	1:1	2606830	0
A	1	8	jem	2s_epoll	cache	1024	1:0	2759485	0
A	1	8	jem	2s_epoll	cache	4096	1:9	596731	0
A	1	8	jem	2s_epoll	cache	4096	1:1	941936	0
A	1	8	jem	2s_epoll	cache	4096	1:0	1358193	0
A	1	8	jem	2s_epoll	cache	16384	1:9	303535	0
A	1	8	jem	2s_epoll	cache	16384	1:1	344245	0
A	1	8	jem	2s_epoll	cache	16384	1:0	407132	0
A	1	8	jem	2s_epoll	dram	16	1:9	4532709	0
A	1	8	jem	2s_epoll	dram	16	1:1	4145576	0
A	1	8	jem	2s_epoll	dram	16	1:0	4310837	0
A	1	8	jem	2s_epoll	dram	64	1:9	4121040	0
A	1	8	jem	2s_epoll	dram	64	1:1	3783297	0
A	1	8	jem	2s_epoll	dram	64	1:0	3749918	0
A	1	8	jem	2s_epoll	dram	256	1:9	4329377	0
A	1	8	jem	2s_epoll	dram	256	1:1	3689135	0
A	1	8	jem	2s_epoll	dram	256	1:0	3523002	0
