pass	system	payload	pipe	ratio	ops	p50ms	p99ms	crash
2	v11-epoll	1024	1	1:9	747612	0.24700	0.39900	0
2	v11-epoll	64	16	1:1	4332330	0.74300	1.21500	0
2	v11-epoll	512	16	1:1	2968902	1.04700	1.87900	0
3	ts-tuned-i4w2r1	64	16	1:9	5262360	0.51100	3.53500	0
3	ts-tuned-i4w2r1	128	16	1:9	4932722	0.45500	4.01500	0
3	ts-tuned-i4w2r1	256	16	1:9	4420758	0.59100	3.74300	0
3	ts-tuned-i4w2r1	512	16	1:9	2737829	0.99900	5.69500	0
3	ts-tuned-i4w2r1	1024	16	1:9	1842600	1.43900	6.46300	0
3	ts-tuned-i4w2r1	64	1	1:9	644242	0.25500	1.74300	0
3	ts-tuned-i4w2r1	256	1	1:9	564789	0.30300	2.15900	0
3	ts-tuned-i4w2r1	1024	1	1:9	541743	0.29500	2.78300	0
3	ts-tuned-i4w2r1	64	16	1:1	4875958	0.52700	3.74300	0
3	ts-tuned-i4w2r1	512	16	1:1	3148088	0.83900	5.11900	0
3	ts-canon-i4w4r0	64	16	1:9	3242836	0.65500	6.07900	0
3	ts-canon-i4w4r0	128	16	1:9	3049506	0.60700	5.98300	0
3	ts-canon-i4w4r0	256	16	1:9	3480543	0.48700	5.66300	0
3	ts-canon-i4w4r0	512	16	1:9	2457673	1.01500	4.57500	0
3	ts-canon-i4w4r0	1024	16	1:9	1741116	1.68700	5.11900	0
3	ts-canon-i4w4r0	64	1	1:9	566529	0.21500	3.05500	0
3	ts-canon-i4w4r0	256	1	1:9	544641	0.24700	2.95900	0
3	ts-canon-i4w4r0	1024	1	1:9	481649	0.27100	3.26300	0
3	ts-canon-i4w4r0	64	16	1:1	3042165	0.61500	5.40700	0
3	ts-canon-i4w4r0	512	16	1:1	2684593	0.96700	4.54300	0
3	redis	64	16	1:9	4299373	0.73500	1.05500	0
3	redis	128	16	1:9	3486188	0.91900	1.20700	0
3	redis	256	16	1:9	4273305	0.70300	1.57500	0
3	redis	512	16	1:9	3616731	0.79900	1.55100	0
3	redis	1024	16	1:9	1980941	1.65500	2.46300	0
3	redis	64	1	1:9	574966	0.31900	0.63100	0
3	redis	256	1	1:9	641872	0.27900	0.57500	0
3	redis	1024	1	1:9	646605	0.28700	0.54300	0
3	redis	64	16	1:1	3635788	0.87900	1.18300	0
3	redis	512	16	1:1	3067903	0.94300	1.81500	0
3	dragonfly	64	16	1:9	4759688	0.55900	1.59900	0
3	dragonfly	128	16	1:9	3640264	0.75100	1.88700	0
3	dragonfly	256	16	1:9	1724004	1.71900	3.05500	0
3	dragonfly	512	16	1:9	1838804	1.41500	3.02300	0
3	dragonfly	1024	16	1:9	1594795	1.79100	3.63100	0
3	dragonfly	64	1	1:9	556678	0.31900	0.67100	0
3	dragonfly	256	1	1:9	578974	0.31100	0.63900	0
3	dragonfly	1024	1	1:9	633434	0.27900	0.59900	0
3	dragonfly	64	16	1:1	4085728	0.66300	1.71900	0
3	dragonfly	512	16	1:1	1919762	1.55900	2.89500	0
3	v11-epoll	64	16	1:9	5300521	0.54300	1.71100	0
3	v11-epoll	128	16	1:9	4543913	0.67100	1.39100	0
3	v11-epoll	256	16	1:9	3964023	0.82300	1.18300	0
3	v11-epoll	512	16	1:9	3142786	0.99900	1.60700	0
3	v11-epoll	1024	16	1:9	2274676	1.47900	2.19100	0
3	v11-epoll	64	1	1:9	652945	0.28700	0.52700	0
3	v11-epoll	256	1	1:9	645321	0.27900	0.58300	0
3	v11-epoll	1024	1	1:9	736999	0.24700	0.40700	0
3	v11-epoll	64	16	1:1	4167343	0.74300	1.24700	0
3	v11-epoll	512	16	1:1	3009520	1.05500	1.65500	0
3	v12-J	64	16	1:9	5204423	0.59100	1.14300	0
3	v12-J	128	16	1:9	3970033	0.78300	1.48700	0
3	v12-J	256	16	1:9	4143050	0.73500	1.46300	0
3	v12-J	512	16	1:9	3405534	0.92700	1.59100	0
3	v12-J	1024	16	1:9	2116470	1.55900	2.59100	0
3	v12-J	64	1	1:9	632510	0.29500	0.49500	0
3	v12-J	256	1	1:9	713617	0.26300	0.43100	0
3	v12-J	1024	1	1:9	738239	0.24700	0.41500	0
3	v12-J	64	16	1:1	4143946	0.73500	1.49500	0
3	v12-J	512	16	1:1	2957170	1.07900	1.89500	0
