round	fork	config	cell	ops	note
1	base	base_keydb	GET_d1024_P32	1993574.11	
1	base	base_keydb	MIX_d64_P16	2755449.74	
1	base	base_keydb	HOT_G256	2885077.29	
1	base	base_keydb	FB_ETC	2897615.33	
1	base	base_dragonfly	GET_d32_P32	6025385.02	
1	base	base_dragonfly	GET_d256_P32	1264395.11	
1	base	base_dragonfly	SET_d256_P32	4879257.33	
1	base	base_dragonfly	GET_d1024_P32	1121399.26	
1	base	base_dragonfly	MIX_d64_P16	4458067.11	
1	base	base_dragonfly	HOT_G256	1185204.16	
1	base	base_dragonfly	FB_ETC	3010951.16	
2	2s	2s_thr_io4w4	GET_d32_P32	7049735.22	
2	2s	2s_thr_io4w4	GET_d256_P32	2524760.34	
2	2s	2s_thr_io4w4	SET_d256_P32	4568777.48	
2	2s	2s_thr_io4w4	GET_d1024_P32	2101760.49	
2	2s	2s_thr_io4w4	MIX_d64_P16	4927417.69	
2	2s	2s_thr_io4w4	HOT_G256	1548081.95	
2	2s	2s_thr_io4w4	FB_ETC	1825162.30	
2	2s	2s_thr_io6w4	GET_d32_P32	8089388.47	
2	2s	2s_thr_io6w4	GET_d256_P32	2746717.14	
2	2s	2s_thr_io6w4	SET_d256_P32	5354629.52	
2	2s	2s_thr_io6w4	GET_d1024_P32	2375381.58	
2	2s	2s_thr_io6w4	MIX_d64_P16	5779647.86	
2	2s	2s_thr_io6w4	HOT_G256	1635759.61	
2	2s	2s_thr_io6w4	FB_ETC	1609294.87	
2	2s	2s_thr_io8w4	GET_d32_P32	7660786.60	
2	2s	2s_thr_io8w4	GET_d256_P32	2966904.92	
2	2s	2s_thr_io8w4	SET_d256_P32	5333783.48	
2	2s	2s_thr_io8w4	GET_d1024_P32	2571094.25	
2	2s	2s_thr_io8w4	MIX_d64_P16	5581249.15	
2	2s	2s_thr_io8w4	HOT_G256	1739428.04	
2	2s	2s_thr_io8w4	FB_ETC	1697111.09	
2	2s	2s_thr_io4w2	GET_d32_P32	5712618.80	
2	2s	2s_thr_io4w2	GET_d256_P32	2588081.48	
2	2s	2s_thr_io4w2	SET_d256_P32	3380223.89	
2	2s	2s_thr_io4w2	GET_d1024_P32	2124076.87	
2	2s	2s_thr_io4w2	MIX_d64_P16	4082496.60	
2	2s	2s_thr_io4w2	HOT_G256	1463327.87	
2	2s	2s_thr_io4w2	FB_ETC	1453192.97	
2	2s	2s_thr_io2w8	GET_d32_P32	3685472.03	
2	2s	2s_thr_io2w8	GET_d256_P32	1682729.67	
2	2s	2s_thr_io2w8	SET_d256_P32	2881723.95	
2	2s	2s_thr_io2w8	GET_d1024_P32	1734853.12	
2	2s	2s_thr_io2w8	MIX_d64_P16	2634947.45	
2	2s	2s_thr_io2w8	HOT_G256	1019416.11	
2	2s	2s_thr_io2w8	FB_ETC	1009996.09	
2	2s	2s_knob_dirty	GET_d32_P32	7913086.94	
2	2s	2s_knob_dirty	GET_d256_P32	2780556.49	
2	2s	2s_knob_dirty	SET_d256_P32	5244526.08	
2	2s	2s_knob_dirty	GET_d1024_P32	2366284.81	
2	2s	2s_knob_dirty	MIX_d64_P16	5741802.15	
2	2s	2s_knob_dirty	HOT_G256	1660232.25	
2	2s	2s_knob_dirty	FB_ETC	1625770.15	
2	2s	2s_knob_mcdb	GET_d32_P32	7990385.36	
2	2s	2s_knob_mcdb	GET_d256_P32	2872855.08	
2	2s	2s_knob_mcdb	SET_d256_P32	5265499.91	
2	2s	2s_knob_mcdb	GET_d1024_P32	2388836.48	
2	2s	2s_knob_mcdb	MIX_d64_P16	5778761.85	
2	2s	2s_knob_mcdb	HOT_G256	1642211.78	
2	2s	2s_knob_mcdb	FB_ETC	1725160.60	
2	2s	2s_knob_nextop	GET_d32_P32	7888675.70	
2	2s	2s_knob_nextop	GET_d256_P32	2822416.77	
2	2s	2s_knob_nextop	SET_d256_P32	5550679.29	
2	2s	2s_knob_nextop	GET_d1024_P32	2377912.90	
2	2s	2s_knob_nextop	MIX_d64_P16	5788020.30	
2	2s	2s_knob_nextop	HOT_G256	1635248.08	
2	2s	2s_knob_nextop	FB_ETC	1620874.71	
2	2s	2s_knob_uring	GET_d32_P32	7472942.07	
2	2s	2s_knob_uring	GET_d256_P32	2725650.59	
2	2s	2s_knob_uring	SET_d256_P32	5184069.14	
2	2s	2s_knob_uring	GET_d1024_P32	2225623.31	
2	2s	2s_knob_uring	MIX_d64_P16	5189641.70	
2	2s	2s_knob_uring	HOT_G256	1584313.52	
2	2s	2s_knob_uring	FB_ETC	1555299.75	
2	2s	2s_knob_allopt	GET_d32_P32	8008231.54	
2	2s	2s_knob_allopt	GET_d256_P32	2898104.86	
2	2s	2s_knob_allopt	SET_d256_P32	5187548.12	
2	2s	2s_knob_allopt	GET_d1024_P32	2380447.20	
2	2s	2s_knob_allopt	MIX_d64_P16	5702913.73	
2	2s	2s_knob_allopt	HOT_G256	1659788.21	
2	2s	2s_knob_allopt	FB_ETC	1578024.47	
2	2s	2s_allopt_full	GET_d32_P32	7600374.80	
2	2s	2s_allopt_full	GET_d256_P32	2670326.05	
2	2s	2s_allopt_full	SET_d256_P32	5272265.49	
2	2s	2s_allopt_full	GET_d1024_P32	2235586.56	
2	2s	2s_allopt_full	MIX_d64_P16	5247673.78	
2	2s	2s_allopt_full	HOT_G256	1556151.83	
2	2s	2s_allopt_full	FB_ETC	1562822.12	
2	2s	2s_loo_nodirty	GET_d32_P32	7609308.73	
2	2s	2s_loo_nodirty	GET_d256_P32	2834356.97	
2	2s	2s_loo_nodirty	SET_d256_P32	5277335.98	
2	2s	2s_loo_nodirty	GET_d1024_P32	2292576.10	
2	2s	2s_loo_nodirty	MIX_d64_P16	5306358.62	
2	2s	2s_loo_nodirty	HOT_G256	1631056.21	
2	2s	2s_loo_nodirty	FB_ETC	1572932.44	
2	2s	2s_loo_nomcdb	GET_d32_P32	7501516.37	
2	2s	2s_loo_nomcdb	GET_d256_P32	2799371.13	
2	2s	2s_loo_nomcdb	SET_d256_P32	5003950.68	
2	2s	2s_loo_nomcdb	GET_d1024_P32	2339703.78	
2	2s	2s_loo_nomcdb	MIX_d64_P16	5216258.19	
2	2s	2s_loo_nomcdb	HOT_G256	1589964.49	
2	2s	2s_loo_nomcdb	FB_ETC	1561642.10	
2	2s	2s_loo_nonextop	GET_d32_P32	7494217.26	
